Specialty	Class	Year	No. of Programs	Positions Offered	Unfilled Programs	U.S. Senior Applicants	Total Applicants	U.S. Senior Matches	Total Matches	U.S. Senior % Filled	Total % Filled	U.S. Senior Ranked Positions	Total Ranked Positions	U.S. Senior Match Rate %	Total Match Rate %	U.S. Senior Average Ranked Programs	Total Average Ranked Programs	Change in No. of Programs	Change in Positions Offered	Change in Unfilled Programs	Change in U.S. Senior Applicants	Change in Total Applicants	Change in U.S. Senior Matches	Change in Total Matches	Change in U.S. Senior % Filled	Change in Total % Filled	Change in U.S. Senior Ranked Positions	Change in Total Ranked Positions	Change in U.S. Senior Match Rate %	Change in Total Match Rate %	Change in U.S. Senior Average Ranked Programs	Change in Total Average Ranked Programs	% Change in No. of Programs	% Change in Positions Offered	% Change in Unfilled Programs	% Change in U.S. Senior Applicants	% Change in Total Applicants	% Change in U.S. Senior Matches	% Change in Total Matches	% Change in U.S. Senior % Filled	% Change in Total % Filled	% Change in U.S. Senior Ranked Positions	% Change in Total Ranked Positions	% Change in U.S. Senior Match Rate %	% Change in Total Match Rate %	% Change in U.S. Senior Average Ranked Programs	% Change in Total Average Ranked Programs	PGY1	PGY2	Total	Predominance	Margin	% Predominance	Exclusivity	Category
Anesthesiology	PGY1	2012	109	919	8	1177	1721	725	897	78.9	97.6	9203	11315	61.6	52.1	7.8	6.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	919	557	1476	PGY1	362	62.3	Mixed	PGY1 Mixed
Anesthesiology	PGY1	2013	147	1073	19	1208	1893	748	1029	69.7	95.9	9813	12677	61.9	54.4	8.1	6.7	38	154	11	31	172	23	132	-9.200000000000003	-1.6999999999999886	610	1362	0.29999999999999716	2.299999999999997	0.2999999999999998	0.10000000000000053	34.9	16.8	137.5	2.6	10	3.2	14.7	-11.7	-1.7	6.6	12	0.5	4.4	3.8	1.5	1073	580	1653	PGY1	493	64.9	Mixed	PGY1 Mixed
Anesthesiology	PGY1	2014	117	1049	10	1162	1836	754	1024	71.9	97.6	10213	13231	64.9	55.8	8.8	7.2	-30	-24	-9	-46	-57	6	-5	2.200000000000003	1.6999999999999886	400	554	3.000000000000007	1.3999999999999986	0.7000000000000011	0.5	-20.4	-2.2	-47.4	-3.8	-3	0.8	-0.5	3.2	1.8	4.1	4.4	4.8	2.6	8.6	7.5	1049	515	1564	PGY1	534	67.1	Mixed	PGY1 Mixed
Anesthesiology	PGY1	2015	120	1094	11	1192	1859	799	1066	73	97.4	10782	13790	67	57.3	9	7.4	3	45	1	30	23	45	42	1.0999999999999943	-0.19999999999998863	569	559	2.0999999999999943	1.5	0.1999999999999993	0.20000000000000018	2.6	4.3	10	2.6	1.3	6	4.1	1.5	-0.2	5.6	4.2	3.2	2.7	2.3	2.8	1094	506	1600	PGY1	588	68.4	Mixed	PGY1 Mixed
Anesthesiology	PGY1	2016	119	1127	23	1107	1748	774	1072	68.7	95.1	10497	13524	69.9	61.3	9.5	7.7	-1	33	12	-85	-111	-25	6	-4.299999999999997	-2.3000000000000114	-285	-266	2.9000000000000057	4	0.5	0.2999999999999998	-0.8	3	109.1	-7.1	-6	-3.1	0.6	-5.9	-2.4	-2.6	-1.9	4.3	7	5.6	4.1	1127	481	1608	PGY1	646	70.1	Mixed	PGY1 Mixed
Anesthesiology	PGY1	2017	124	1202	18	1075	1843	803	1146	66.8	95.3	10531	14303	74.7	62.2	9.8	7.8	5	75	-5	-32	95	29	74	-1.9000000000000057	0.20000000000000284	34	779	4.799999999999997	0.9000000000000057	0.3000000000000007	0.09999999999999964	4.2	6.7	-21.7	-2.9	5.4	3.7	6.9	-2.8	0.2	0.3	5.8	6.9	1.5	3.2	1.3	1202	441	1643	PGY1	761	73.2	Mixed	PGY1 Mixed
Anesthesiology	PGY1	2018	132	1253	9	1180	2011	861	1226	68.7	97.8	11746	16071	73	61	10	8	8	51	-9	105	168	58	80	1.9000000000000057	2.5	1215	1768	-1.7000000000000028	-1.2000000000000028	0.1999999999999993	0.20000000000000018	6.5	4.2	-50	9.8	9.1	7.2	7	2.8	2.6	11.5	12.4	-2.3	-1.9	2	2.6	1253	447	1700	PGY1	806	73.7	Mixed	PGY1 Mixed
Anesthesiology	PGY1	2019	142	1337	4	1270	2226	907	1316	67.8	98.4	12778	17741	71.4	59.1	10.1	8	10	84	-5	90	215	46	90	-0.9000000000000057	0.6000000000000085	1032	1670	-1.5999999999999943	-1.8999999999999986	0.09999999999999964	0	7.6	6.7	-55.6	7.6	10.7	5.3	7.3	-1.3	0.6	8.8	10.4	-2.2	-3.1	1	0	1337	428	1765	PGY1	909	75.8	Mixed	PGY1 Mixed
Anesthesiology	PGY1	2020	153	1370	1	1372	2418	936	1369	68.3	99.9	13809	19359	68.2	56.6	10.1	8	11	33	-3	102	192	29	53	0.5	1.5	1031	1618	-3.200000000000003	-2.5	0	0	7.7	2.5	-75	8	8.6	3.2	4	0.7	1.5	8.1	9.1	-4.5	-4.2	0	0	1370	398	1768	PGY1	972	77.5	Mixed	PGY1 Mixed
Anesthesiology	PGY1	2021	159	1460	2	1460	2706	1024	1457	70.1	99.8	15977	23046	70.1	53.8	10.9	8.5	6	90	1	88	288	88	88	1.7999999999999972	-0.10000000000000853	2168	3687	1.8999999999999915	-2.8000000000000043	0.8000000000000007	0.5	3.9	6.6	100	6.4	11.9	9.4	6.4	2.6	-0.1	15.7	19	2.8	-4.9	7.9	6.2	1460	339	1799	PGY1	1121	81.2	Predominant	PGY1 Predominant
