Specialty	Year	Class	Name	Value
Anesthesiology	2012	PGY1	Positions Offered	919
Anesthesiology	2012	PGY1	MD Senior Applicants	1,177
Anesthesiology	2012	PGY1	Total Applicants	1,721
Anesthesiology	2012	PGY1	MD Senior Matches	725
Anesthesiology	2012	PGY1	Total Matches	897
Anesthesiology	2013	PGY1	Positions Offered	1,073
Anesthesiology	2013	PGY1	MD Senior Applicants	1,208
Anesthesiology	2013	PGY1	Total Applicants	1,893
Anesthesiology	2013	PGY1	MD Senior Matches	748
Anesthesiology	2013	PGY1	Total Matches	1,029
Anesthesiology	2014	PGY1	Positions Offered	1,049
Anesthesiology	2014	PGY1	MD Senior Applicants	1,162
Anesthesiology	2014	PGY1	Total Applicants	1,836
Anesthesiology	2014	PGY1	MD Senior Matches	754
Anesthesiology	2014	PGY1	Total Matches	1,024
Anesthesiology	2015	PGY1	Positions Offered	1,094
Anesthesiology	2015	PGY1	MD Senior Applicants	1,192
Anesthesiology	2015	PGY1	Total Applicants	1,859
Anesthesiology	2015	PGY1	MD Senior Matches	799
Anesthesiology	2015	PGY1	Total Matches	1,066
Anesthesiology	2016	PGY1	Positions Offered	1,127
Anesthesiology	2016	PGY1	MD Senior Applicants	1,107
Anesthesiology	2016	PGY1	Total Applicants	1,748
Anesthesiology	2016	PGY1	MD Senior Matches	774
Anesthesiology	2016	PGY1	Total Matches	1,072
Anesthesiology	2017	PGY1	Positions Offered	1,202
Anesthesiology	2017	PGY1	MD Senior Applicants	1,075
Anesthesiology	2017	PGY1	Total Applicants	1,843
Anesthesiology	2017	PGY1	MD Senior Matches	803
Anesthesiology	2017	PGY1	Total Matches	1,146
Anesthesiology	2018	PGY1	Positions Offered	1,253
Anesthesiology	2018	PGY1	MD Senior Applicants	1,180
Anesthesiology	2018	PGY1	Total Applicants	2,011
Anesthesiology	2018	PGY1	MD Senior Matches	861
Anesthesiology	2018	PGY1	Total Matches	1,226
Anesthesiology	2019	PGY1	Positions Offered	1,337
Anesthesiology	2019	PGY1	MD Senior Applicants	1,270
Anesthesiology	2019	PGY1	Total Applicants	2,226
Anesthesiology	2019	PGY1	MD Senior Matches	907
Anesthesiology	2019	PGY1	Total Matches	1,316
Anesthesiology	2020	PGY1	Positions Offered	1,370
Anesthesiology	2020	PGY1	MD Senior Applicants	1,372
Anesthesiology	2020	PGY1	Total Applicants	2,418
Anesthesiology	2020	PGY1	MD Senior Matches	936
Anesthesiology	2020	PGY1	Total Matches	1,369
Anesthesiology	2021	PGY1	Positions Offered	1,460
Anesthesiology	2021	PGY1	MD Senior Applicants	1,460
Anesthesiology	2021	PGY1	Total Applicants	2,706
Anesthesiology	2021	PGY1	MD Senior Matches	1,024
Anesthesiology	2021	PGY1	Total Matches	1,457
Anesthesiology	2022	PGY1	Positions Offered	1,509
Anesthesiology	2022	PGY1	MD Senior Applicants	1,489
Anesthesiology	2022	PGY1	Total Applicants	2,691
Anesthesiology	2022	PGY1	MD Senior Matches	1,054
Anesthesiology	2022	PGY1	Total Matches	1,508
Anesthesiology	2012	PGY2	Positions Offered	557
Anesthesiology	2012	PGY2	MD Senior Applicants	1052
Anesthesiology	2012	PGY2	Total Applicants	1549
Anesthesiology	2012	PGY2	MD Senior Matches	397
Anesthesiology	2012	PGY2	Total Matches	540
Anesthesiology	2013	PGY2	Positions Offered	580
Anesthesiology	2013	PGY2	MD Senior Applicants	1,067
Anesthesiology	2013	PGY2	Total Applicants	1,628
Anesthesiology	2013	PGY2	MD Senior Matches	398
Anesthesiology	2013	PGY2	Total Matches	562
Anesthesiology	2014	PGY2	Positions Offered	515
Anesthesiology	2014	PGY2	MD Senior Applicants	1,001
Anesthesiology	2014	PGY2	Total Applicants	1,580
Anesthesiology	2014	PGY2	MD Senior Matches	327
Anesthesiology	2014	PGY2	Total Matches	482
Anesthesiology	2015	PGY2	Positions Offered	506
Anesthesiology	2015	PGY2	MD Senior Applicants	1,017
Anesthesiology	2015	PGY2	Total Applicants	1,581
Anesthesiology	2015	PGY2	MD Senior Matches	315
Anesthesiology	2015	PGY2	Total Matches	469
Anesthesiology	2016	PGY2	Positions Offered	481
Anesthesiology	2016	PGY2	MD Senior Applicants	952
Anesthesiology	2016	PGY2	Total Applicants	1,540
Anesthesiology	2016	PGY2	MD Senior Matches	290
Anesthesiology	2016	PGY2	Total Matches	441
Anesthesiology	2017	PGY2	Positions Offered	441
Anesthesiology	2017	PGY2	MD Senior Applicants	864
Anesthesiology	2017	PGY2	Total Applicants	1,504
Anesthesiology	2017	PGY2	MD Senior Matches	229
Anesthesiology	2017	PGY2	Total Matches	414
Anesthesiology	2018	PGY2	Positions Offered	447
Anesthesiology	2018	PGY2	MD Senior Applicants	919
Anesthesiology	2018	PGY2	Total Applicants	1,601
Anesthesiology	2018	PGY2	MD Senior Matches	246
Anesthesiology	2018	PGY2	Total Matches	442
Anesthesiology	2019	PGY2	Positions Offered	428
Anesthesiology	2019	PGY2	MD Senior Applicants	966
