Anesthesiology,83,557,10,"1,052","1,549",397,540,71.3,96.9,"6,522","8,135"
Child Neurology,33,47,11,76,113,23,35,48.9,74.5,288,379
Dermatology,107,340,8,385,508,288,329,84.7,96.8,"3,108","3,507"
Neurodevelopmental Disabilities,5,7,1,9,10,6,6,85.7,85.7,19,21
Neurology,76,346,12,364,766,181,326,52.3,94.2,"2,110","3,374"
Nuclear Medicine,2,4,1,1,13,0,3,0.0,75.0,1,16
Physical Medicine & Rehab,60,281,3,211,532,142,277,50.5,98.6,"1,653","3,146"
Plastic Surgery,12,20,0,109,123,19,20,95.0,100.0,248,268
Preventive Medicine,1,1,1,0,5,0,0,0.0,0.0,0,5
Psychiatry,2,3,2,6,7,0,0,0.0,0.0,6,7
Psychiatry-Neurology,1,0,0,3,3,0,0,0.0,0.0,3,3
Radiation Oncology,78,156,1,222,257,153,155,98.1,99.4,"1,828","1,919"
Radiology-Diagnostic,164,976,39,875,"1,219",741,901,75.9,92.3,"10,054","11,525"
Total PGY- - 2,624,"2,738",89,"3,313","5,105","1,950","2,592",71.2,94.7,"25,840","32,305"
