,,,,No.,of Applicants*,No.,of Matches,% Filled,,Ranked Positions,
Specialty,No. of Programs,Positions Offered,Unfilled Programs,U.S. Seniors,Total,U.S. Seniors,Total,U.S. Seniors,Total,U.S. Seniors,Total
PGY- 1 Positions,,,,,,,,,,,
Anesthesiology,117,"1,049",10,"1,162","1,836",754,"1,024",71.9,97.6,"10,213","13,231"
Child Neurology,61,92,11,88,177,66,80,71.7,87.0,724,967
Dermatology,9,20,0,168,179,20,20,100.0,100.0,234,247
Emergency Medicine,170,"1,786",6,"1,566","2,322","1,388","1,772",77.7,99.2,"17,565","21,236"
Emergency Med-Family Med,2,4,0,19,32,4,4,100.0,100.0,23,40
Family Medicine,480,"3,109",64,"1,664","5,999","1,398","2,977",45.0,95.8,"15,615","34,727"
Family Med-Preventive Med,2,5,0,16,45,3,5,60.0,100.0,18,50
Internal Medicine (Categorical),408,"6,524",21,"3,762","11,236","3,167","6,465",48.5,99.1,"37,674","73,525"
Medicine-Anesthesiology,4,7,2,31,37,5,5,71.4,71.4,38,44
Medicine-Dermatology,6,6,0,32,35,6,6,100.0,100.0,65,68
Medicine-Emergency Med,12,28,0,60,91,24,28,85.7,100.0,259,315
Medicine-Family Medicine,2,4,0,16,37,3,4,75.0,100.0,18,43
Medicine-Medical Genetics,4,3,3,5,6,0,0,0.0,0.0,7,8
Medicine-Neurology,2,1,0,2,3,1,1,100.0,100.0,3,4
Medicine-Pediatrics,79,374,7,334,582,284,362,75.9,96.8,"3,105","3,965"
Medicine-Preliminary (PGY-1 Only),323,"1,905",37,"3,400","5,329","1,477","1,825",77.5,95.8,"46,970","56,750"
Medicine-Preventive Med,4,7,0,37,104,2,7,28.6,100.0,45,135
Medicine-Primary,55,335,1,781,"2,012",202,333,60.3,99.4,"2,208","3,754"
Medicine-Psychiatry,9,18,1,23,63,10,16,55.6,88.9,69,142
Neurodevelopmental Disabilities,2,0,0,3,5,0,0,0.0,0.0,4,7
Neurological Surgery,102,206,0,243,335,189,206,91.7,100.0,"3,294","3,746"
Neurology,80,380,5,403,952,192,373,50.5,98.2,"2,254","4,006"
Obstetrics-Gynecology,233,"1,242",5,"1,073","1,798",950,"1,234",76.5,99.4,"12,031","15,815"
OB/GYN-Preliminary (PGY-1 Only),18,22,7,51,145,4,13,18.2,59.1,70,197
Orthopedic Surgery,162,695,2,853,"1,032",649,693,93.4,99.7,"9,014","9,685"
Otolaryngology,106,295,0,376,443,279,295,94.6,100.0,"3,775","4,043"
Pathology,153,597,31,274,863,256,546,42.9,91.5,"2,567","5,520"
Pediatrics (Categorical),194,"2,640",4,"2,065","3,993","1,818","2,627",68.9,99.5,"21,009","30,068"
Pediatrics-Anesthesiology,7,8,1,16,16,7,7,87.5,87.5,55,55
Pediatrics-Emergency Med,4,9,0,21,34,4,9,44.4,100.0,35,58
Pediatrics-Medical Genetics,12,10,3,7,20,5,7,50.0,70.0,23,48
Pediatrics-P M & R,3,3,0,6,9,2,3,66.7,100.0,12,16
Pediatrics-Preliminary,38,40,7,100,174,24,30,60.0,75.0,508,685
Pediatrics-Primary,12,75,0,399,865,34,75,45.3,100.0,544,"1,116"
Peds/Psych/Child Psych,9,19,1,32,49,16,18,84.2,94.7,115,143
Physical Medicine & Rehab,28,96,0,223,444,54,96,56.3,100.0,880,"1,434"
Plastic Surgery (Integrated),60,130,0,181,215,120,130,92.3,100.0,"1,719","1,810"
Psychiatry (Categorical),203,"1,322",14,751,"2,363",685,"1,291",51.8,97.7,"7,001","13,496"
Psychiatry-Family Medicine,6,10,0,28,43,8,10,80.0,100.0,72,101
Psychiatry-Neurology,3,4,0,15,18,4,4,100.0,100.0,19,23
Radiation Oncology,9,18,0,126,132,18,18,100.0,100.0,228,236
Radiology-Diagnostic,36,137,8,548,780,81,121,59.1,88.3,"1,391","1,857"
Surgery (Categorical),251,"1,205",4,"1,274","2,382",922,"1,198",76.5,99.4,"13,307","17,204"
Surgery-Preliminary (PGY-1 Only),290,"1,286",139,"1,031","2,034",490,837,38.1,65.1,"2,621","5,930"
Thoracic Surgery,26,33,0,61,119,29,33,87.9,100.0,504,654
Transitional (PGY-1 Only),103,868,9,"2,336","3,087",709,833,81.7,96.0,"17,798","20,206"
Vascular Surgery,44,51,4,48,90,36,46,70.6,90.2,526,655
Total PGY 1,"3,943","26,678",407,"25,710","52,565","16,399","25,687",61.5,96.3,"236,229","348,065"
