,,,,No. Applicants*,of,No. Matches,of,% Filled,,Ranked Positions,
Specialty,No. of Programs,Positions Offered,Unfilled Programs,U.S. Seniors,Total,U.S. Seniors,Total,U.S. Seniors,Total,U.S. Seniors,Total
PGY- 2 Positions,,,,,,,,,,,
Anesthesiology,80,515,14,"1,001","1,580",327,482,63.5,93.6,"6,099","8,304"
Child Neurology,21,28,7,54,111,11,20,39.3,71.4,109,208
Dermatology,113,380,5,468,601,334,374,87.9,98.4,"3,461","3,917"
Neurodevelopmental Disabilities,3,5,0,5,9,3,5,60.0,100.0,11,16
Neurology,71,320,8,389,803,195,308,60.9,96.3,"2,315","3,461"
Nuclear Medicine,4,4,2,0,2,0,2,0.0,50.0,0,3
Physical Medicine & Rehab,62,287,0,243,617,154,287,53.7,100.0,"2,068","3,874"
Plastic Surgery,3,6,0,57,61,6,6,100.0,100.0,73,78
Preventive Medicine,1,2,1,0,2,0,0,0.0,0.0,0,2
Psychiatry,2,2,1,3,6,0,1,0.0,50.0,3,6
Psychiatry-Neurology,1,0,0,9,9,0,0,0.0,0.0,9,9
Radiation Oncology,78,161,4,195,224,151,157,93.8,97.5,"1,795","1,909"
Radiology-Diagnostic,161,"1,008",34,803,"1,288",695,950,68.9,94.2,"9,615","12,116"
Radiology-Nuclear Med,1,1,1,4,6,0,0,0.0,0.0,4,6
Total PGY-2,601,"2,719",77,"3,231","5,319","1,876","2,592",69.0,95.3,"25,562","33,909"
