,,,,No.,of Applicants*,No.,of Matches*,% Filled,,Ranked Positions,
Specialty,No. of Programs,Positions Offered,Unfilled Programs,U.S. Seniors,Total,U.S. Seniors,Total,U.S. Seniors,Total,U.S. Seniors,Total
PGY- 1 Positions,,,,,,,,,,,
Anesthesiology,119,"1,127",23,"1,107","1,748",774,"1,072",68.7,95.1,"10,497","13,524"
Child Neurology,64,116,6,111,185,90,109,77.6,94.0,"1,052","1,281"
Dermatology,9,21,0,174,182,21,21,100.0,100.0,259,268
Emergency Medicine,174,"1,895",1,"1,693","2,476","1,486","1,894",78.4,99.9,"19,695","24,134"
Emergency Med-Family Med,2,4,0,15,35,2,4,50.0,100.0,18,39
Family Medicine,501,"3,238",73,"1,774","6,117","1,467","3,083",45.3,95.2,"17,381","37,164"
Family Med-Preventive Med,3,6,0,17,60,1,6,16.7,100.0,18,64
Internal Medicine (Categorical),444,"7,024",26,"3,885","11,733","3,291","6,938",46.9,98.8,"40,454","80,006"
Medicine-Anesthesiology,3,5,0,20,20,5,5,100.0,100.0,24,24
Medicine-Dermatology,5,6,0,30,30,6,6,100.0,100.0,47,47
Medicine-Emergency Med,12,29,2,58,98,24,27,82.8,93.1,238,324
Medicine-Family Medicine,1,2,0,12,20,2,2,100.0,100.0,12,20
Medicine-Medical Genetics,3,1,1,0,6,0,0,0.0,0.0,0,11
Medicine-Pediatrics,79,386,1,422,607,329,384,85.2,99.5,"4,140","4,752"
Medicine-Preliminary (PGY-1 Only),324,"1,918",47,"3,353","5,427","1,415","1,818",73.8,94.8,"47,163","58,679"
Medicine-Preventive Med,5,7,1,38,111,3,6,42.9,85.7,38,162
Medicine-Primary,59,328,1,663,"2,056",210,325,64.0,99.1,"2,245","4,004"
Medicine-Psychiatry,11,23,0,40,79,19,23,82.6,100.0,137,200
Interventional Radiology (Integrated),2,3,0,42,48,3,3,100.0,100.0,44,50
Neurodevelopmental Disabilities,3,2,0,5,7,2,2,100.0,100.0,10,13
Neurological Surgery,105,216,1,267,354,200,214,92.6,99.1,"3,795","4,223"
Neurology,87,443,2,465,"1,084",236,440,53.3,99.3,"2,812","4,858"
Obstetrics-Gynecology,237,"1,265",7,"1,111","1,755",981,"1,257",77.5,99.4,"13,100","16,568"
OB/GYN-Preliminary (PGY-1 Only),18,22,8,95,199,4,11,18.2,50.0,146,298
Orthopedic Surgery,163,717,0,874,"1,058",650,717,90.7,100.0,"9,286","10,092"
Otolaryngology,109,304,2,314,370,272,302,89.5,99.3,"3,751","4,089"
Pathology,156,579,18,270,890,248,549,42.8,94.8,"2,537","5,717"
Pediatrics (Categorical),199,"2,689",8,"2,071","3,869","1,829","2,675",68.0,99.5,"22,557","31,471"
Pediatrics-Anesthesiology,6,8,1,18,19,6,7,75.0,87.5,48,52
Pediatrics-Emergency Med,4,7,0,23,30,7,7,100.0,100.0,52,60
Pediatrics-Medical Genetics,13,14,0,21,38,10,14,71.4,100.0,87,112
Pediatrics-P M & R,3,4,0,11,18,3,4,75.0,100.0,21,29
Pediatrics-Preliminary,38,43,5,128,209,26,37,60.5,86.0,485,619
Pediatrics-Primary,13,79,0,336,750,34,79,43.0,100.0,490,970
Peds/Psych/Child Psych,9,20,0,43,54,18,20,90.0,100.0,165,186
Physical Medicine & Rehab,31,112,1,244,462,69,110,61.6,98.2,"1,062","1,650"
Plastic Surgery (Integrated),69,152,1,178,216,133,151,87.5,99.3,"1,944","2,090"
Preventive Medicine,1,1,0,1,28,0,1,0.0,100.0,1,28
Psychiatry (Categorical),220,"1,384",7,"1,007","2,588",850,"1,373",61.4,99.2,"9,042","15,517"
Psychiatry-Family Medicine,6,10,0,34,42,9,10,90.0,100.0,89,104
Psychiatry-Neurology,2,3,0,8,15,3,3,100.0,100.0,10,17
Radiation Oncology,8,15,0,124,141,14,15,93.3,100.0,202,228
Radiology-Diagnostic,38,151,6,560,850,93,141,61.6,93.4,"1,356","2,021"
Surgery (Categorical),260,"1,241",2,"1,300","2,345",948,"1,239",76.4,99.8,"13,926","17,814"
Surgery-Preliminary (PGY-1 Only),301,"1,308",140,"1,050","2,123",511,843,39.1,64.4,"4,036","7,519"
Thoracic Surgery,29,38,1,65,103,31,37,81.6,97.4,540,651
Transitional (PGY-1 Only),101,838,11,"2,154","2,864",673,796,80.3,95.0,"15,367","17,920"
Vascular Surgery,48,56,0,75,123,49,56,87.5,100.0,985,"1,151"
Total PGY- 1,"4,097","27,860",403,"26,306","53,642","17,057","26,836",61.2,96.3,"251,364","370,820"
