,,,,No. Applicants*,of,No.,of Matches*,Filled,%,Ranked Positions,
Specialty,No. of Programs,Positions Offered,Unfilled Programs,U.S. Seniors,Total,U.S. Seniors,Total,U.S. Seniors,Total,U.S. Seniors,Total
PGY- 2 Positions,,,,,,,,,,,
Anesthesiology,71,428,6,966,"1,718",246,420,57.5,98.1,"5,299","7,892"
Child Neurology,9,11,2,51,90,1,9,9.1,81.8,66,109
Dermatology,128,447,2,488,701,370,444,82.8,99.3,"3,903","4,587"
Interventional Radiology (Integrated),61,113,0,237,319,101,113,89.4,100.0,"1,659","1,891"
Neurodevelopmental Disabilities,4,5,2,10,15,2,3,40.0,60.0,16,23
Neurology,52,281,8,417,867,175,266,62.3,94.7,"2,165","3,287"
Osteo Neuromusculoskeletal Med,2,4,1,0,3,0,3,0.0,75.0,0,3
Physical Medicine & Rehab,65,308,3,254,593,151,305,49.0,99.0,"2,095","4,038"
Radiation Oncology,86,192,21,163,192,147,163,76.6,84.9,"2,034","2,186"
Radiology-Diagnostic,178,965,10,925,"1,520",665,950,68.9,98.4,"10,792","14,322"
Radiology-Nuclear Med,2,2,0,8,12,1,2,50.0,100.0,12,16
Total PGY-2,658,"2,756",55,"3,519","6,030","1,859","2,678",67.5,97.2,"28,041","38,354"
