,,,,No. Applicants*,of,No.,of Matches*,% Filled,,Ranked Positions,
Specialty,No. of Programs,Positions Offered,Unfilled Programs,MD Seniors,Total,MD Seniors,Total,MD Seniors,Total,MD Seniors,Total
PGY- 1 Positions,,,,,,,,,,,
Anesthesiology,153,"1,370",1,"1,372","2,418",936,"1,369",68.3,99.9,"13,809","19,359"
Child Neurology,73,159,7,123,213,111,151,69.8,95.0,"1,338","1,760"
Dermatology,14,31,0,195,239,23,31,74.2,100.0,304,367
Emergency Medicine,256,"2,665",7,"1,935","3,323","1,713","2,652",64.3,99.5,"23,489","33,785"
Emergency Med-Anesthesiology,1,0,0,1,1,0,0,0.0,0.0,1,1
Emergency Med-Family Med,3,6,0,15,39,2,6,33.3,100.0,23,53
Family Medicine,706,"4,662",144,"1,823","7,175","1,543","4,313",33.1,92.5,"20,091","51,983"
Family Medicine-ONMM,1,2,0,0,12,0,2,0.0,100.0,0,12
Family Med-Preventive Med,3,3,1,9,11,2,2,66.7,66.7,10,12
Internal Medicine (Categorical),587,"8,697",69,"4,131","13,118","3,496","8,324",40.2,95.7,"45,621","97,309"
Medicine-Anesthesiology,2,3,0,13,19,3,3,100.0,100.0,14,21
Medicine-Dermatology,5,6,1,23,25,5,5,83.3,83.3,50,52
Medicine-Emergency Med,12,30,0,59,111,19,30,63.3,100.0,258,379
Medicine-Medical Genetics,5,4,1,4,8,2,3,50.0,75.0,6,10
Medicine-Pediatrics,77,390,4,399,606,316,381,81.0,97.7,"4,078","4,797"
Medicine-Preliminary (PGY-1 Only),365,"1,911",61,"3,402","5,692","1,313","1,759",68.7,92.0,"48,009","60,471"
Medicine-Preventive Med,4,7,0,44,113,4,7,57.1,100.0,48,117
Medicine-Primary,85,430,3,855,"2,547",247,423,57.4,98.4,"2,888","5,498"
Medicine-Psychiatry,11,23,0,52,90,18,23,78.3,100.0,186,234
Interventional Radiology (Integrated),22,38,1,152,206,25,37,65.8,97.4,508,613
Neurodevelopmental Disabilities,4,4,0,9,20,3,4,75.0,100.0,20,41
Neurological Surgery,112,232,0,273,397,203,232,87.5,100.0,"3,879","4,471"
Neurology,126,682,11,490,"1,226",317,665,46.5,97.5,"4,107","7,525"
Obstetrics-Gynecology,275,"1,443",2,"1,292","2,014","1,089","1,440",75.5,99.8,"14,699","18,965"
OB/GYN-Preliminary (PGY-1 Only),15,18,6,147,211,3,9,16.7,50.0,215,301
Orthopedic Surgery,203,849,5,867,"1,192",686,844,80.8,99.4,"9,744","11,191"
Osteo Neuromusculoskeletal Med,3,10,2,0,18,0,8,0.0,80.0,0,26
Otolaryngology,129,350,2,421,505,310,348,88.6,99.4,"4,812","5,242"
Pathology,164,603,11,229,917,204,587,33.8,97.3,"2,339","6,605"
Pediatrics (Categorical),222,"2,864",24,"1,943","3,728","1,731","2,812",60.4,98.2,"23,304","34,732"
Pediatrics-Anesthesiology,5,7,0,14,21,7,7,100.0,100.0,42,52
Pediatrics-Emergency Med,4,8,0,26,36,5,8,62.5,100.0,63,84
Pediatrics-Medical Genetics,20,22,2,21,35,13,20,59.1,90.9,114,165
Pediatrics-P M & R,3,4,0,9,18,2,4,50.0,100.0,14,27
Pediatrics-Preliminary,21,19,5,86,118,9,12,47.4,63.2,359,402
Pediatrics-Primary,15,92,1,368,871,36,90,39.1,97.8,540,"1,154"
Peds/Psych/Child I Psych,9,22,0,54,64,20,22,90.9,100.0,198,221
Physical Medicine & Rehab,39,151,0,275,550,81,151,53.6,100.0,"1,326","2,255"
Plastic Surgery (Integrated),84,180,0,236,291,165,180,91.7,100.0,"2,794","2,990"
Preventive Medicine,1,1,0,2,17,0,1,0.0,100.0,2,17
Psychiatry,310,"1,858",12,"1,314","2,798","1,138","1,838",61.2,98.9,"13,689","21,070"
Psychiatry-Family Medicine,7,12,0,47,63,10,12,83.3,100.0,144,161
Psychiatry-Neurology,3,2,0,10,13,2,2,100.0,100.0,16,23
Radiation Oncology,6,14,1,96,119,8,11,57.1,78.6,143,180
Radiology-Diagnostic,33,123,4,568,899,50,116,40.7,94.3,"1,326","1,999"
Surgery (Categorical),328,"1,536",4,"1,378","2,713","1,033","1,531",67.3,99.7,"15,493","21,980"
Surgery-Preliminary (PGY-1 Only),258,"1,174",174,939,"1,962",290,583,24.7,49.7,"6,214","9,586"
Thoracic Surgery,29,38,0,78,120,32,38,84.2,100.0,551,655
Transitional (PGY-1 Only),176,"1,436",44,"2,383","3,801",822,"1,230",57.2,85.7,"20,724","28,629"
Vascular Surgery,59,75,1,82,153,61,73,81.3,97.3,"1,238","1,467"
Total PGY- 1,"5,048","34,266",611,"28,264","60,856","18,108","32,399",52.8,94.6,"288,840","459,049"
