,,,,No. Applicants*,of,No. Matches*,of,% Filled,,Ranked Positions,
Specialty,No. of Programs,Positions Offered,Unfilled Programs,MD Seniors,Total,MD Seniors,Total,MD Seniors,Total,MD Seniors,Total
PGY- 2 Positions,,,,,,,,,,,
Anesthesiology,62,398,1,"1,038","1,743",265,396,66.6,99.5,"5,353","7,644"
Child Neurology,7,9,3,41,69,1,6,11.1,66.7,45,77
Dermatology,137,478,6,471,699,368,469,77.0,98.1,"3,979","4,879"
Interventional Radiology (Integrated),64,118,6,171,238,94,111,79.7,94.1,"1,547","1,797"
Neurodevelopmental Disabilities,2,3,1,4,6,1,1,33.3,33.3,5,8
Neurology,44,244,1,413,813,148,240,60.7,98.4,"2,056","3,057"
Nuclear Medicine,1,1,1,1,3,0,0,0.0,0.0,1,3
Osteo Neuromusculoskeletal Med,3,7,2,0,9,0,2,0.0,28.6,0,16
Physical Medicine & Rehab,66,316,1,278,628,164,312,51.9,98.7,"2,271","4,255"
Radiation Oncology,82,175,23,128,184,114,143,65.1,81.7,"1,592","1,931"
Radiology-Diagnostic,179,990,18,870,"1,480",660,967,66.7,97.7,"10,628","14,321"
Radiology-Nuclear Med,3,3,1,15,29,1,2,33.3,66.7,19,36
Total PGY-2,650,"2,742",64,"3,430","5,901","1,816","2,649",66.2,96.6,"27,496","38,024"
