Specialty	Class	Year	Name	Value
Anesthesiology	PGY1	2012	No. of Programs	109
Anesthesiology	PGY1	2012	Positions Offered	919
Anesthesiology	PGY1	2012	Unfilled Programs	8
Anesthesiology	PGY1	2012	U.S. Senior Applicants	1177
Anesthesiology	PGY1	2012	Total Applicants	1721
Anesthesiology	PGY1	2012	U.S. Senior Matches	725
Anesthesiology	PGY1	2012	Total Matches	897
Anesthesiology	PGY1	2012	U.S. Senior Ranked Positions	9203
Anesthesiology	PGY1	2012	Total Ranked Positions	11315
Anesthesiology	PGY1	2012	U.S. Senior Average Ranked Programs	7.8
Anesthesiology	PGY1	2012	Total Average Ranked Programs	6.6
Anesthesiology	PGY1	2012	Change in No. of Programs	NA
Anesthesiology	PGY1	2012	Change in Positions Offered	NA
Anesthesiology	PGY1	2012	Change in Unfilled Programs	NA
Anesthesiology	PGY1	2012	Change in U.S. Senior Applicants	NA
Anesthesiology	PGY1	2012	Change in Total Applicants	NA
Anesthesiology	PGY1	2012	Change in U.S. Senior Matches	NA
Anesthesiology	PGY1	2012	Change in Total Matches	NA
Anesthesiology	PGY1	2012	Change in U.S. Senior Ranked Positions	NA
Anesthesiology	PGY1	2012	Change in Total Ranked Positions	NA
Anesthesiology	PGY1	2012	Change in U.S. Senior Average Ranked Programs	NA
Anesthesiology	PGY1	2012	Change in Total Average Ranked Programs	NA
Anesthesiology	PGY1	2013	No. of Programs	147
Anesthesiology	PGY1	2013	Positions Offered	1073
Anesthesiology	PGY1	2013	Unfilled Programs	19
Anesthesiology	PGY1	2013	U.S. Senior Applicants	1208
Anesthesiology	PGY1	2013	Total Applicants	1893
Anesthesiology	PGY1	2013	U.S. Senior Matches	748
Anesthesiology	PGY1	2013	Total Matches	1029
Anesthesiology	PGY1	2013	U.S. Senior Ranked Positions	9813
Anesthesiology	PGY1	2013	Total Ranked Positions	12677
Anesthesiology	PGY1	2013	U.S. Senior Average Ranked Programs	8.1
Anesthesiology	PGY1	2013	Total Average Ranked Programs	6.7
Anesthesiology	PGY1	2013	Change in No. of Programs	38
Anesthesiology	PGY1	2013	Change in Positions Offered	154
Anesthesiology	PGY1	2013	Change in Unfilled Programs	11
Anesthesiology	PGY1	2013	Change in U.S. Senior Applicants	31
Anesthesiology	PGY1	2013	Change in Total Applicants	172
Anesthesiology	PGY1	2013	Change in U.S. Senior Matches	23
Anesthesiology	PGY1	2013	Change in Total Matches	132
Anesthesiology	PGY1	2013	Change in U.S. Senior Ranked Positions	610
Anesthesiology	PGY1	2013	Change in Total Ranked Positions	1362
Anesthesiology	PGY1	2013	Change in U.S. Senior Average Ranked Programs	0.2999999999999998
Anesthesiology	PGY1	2013	Change in Total Average Ranked Programs	0.10000000000000053
Anesthesiology	PGY1	2014	No. of Programs	117
Anesthesiology	PGY1	2014	Positions Offered	1049
Anesthesiology	PGY1	2014	Unfilled Programs	10
Anesthesiology	PGY1	2014	U.S. Senior Applicants	1162
Anesthesiology	PGY1	2014	Total Applicants	1836
Anesthesiology	PGY1	2014	U.S. Senior Matches	754
Anesthesiology	PGY1	2014	Total Matches	1024
Anesthesiology	PGY1	2014	U.S. Senior Ranked Positions	10213
Anesthesiology	PGY1	2014	Total Ranked Positions	13231
Anesthesiology	PGY1	2014	U.S. Senior Average Ranked Programs	8.8
Anesthesiology	PGY1	2014	Total Average Ranked Programs	7.2
Anesthesiology	PGY1	2014	Change in No. of Programs	-30
Anesthesiology	PGY1	2014	Change in Positions Offered	-24
Anesthesiology	PGY1	2014	Change in Unfilled Programs	-9
Anesthesiology	PGY1	2014	Change in U.S. Senior Applicants	-46
Anesthesiology	PGY1	2014	Change in Total Applicants	-57
Anesthesiology	PGY1	2014	Change in U.S. Senior Matches	6
Anesthesiology	PGY1	2014	Change in Total Matches	-5
Anesthesiology	PGY1	2014	Change in U.S. Senior Ranked Positions	400
Anesthesiology	PGY1	2014	Change in Total Ranked Positions	554
Anesthesiology	PGY1	2014	Change in U.S. Senior Average Ranked Programs	0.7000000000000011
Anesthesiology	PGY1	2014	Change in Total Average Ranked Programs	0.5
Anesthesiology	PGY1	2015	No. of Programs	120
Anesthesiology	PGY1	2015	Positions Offered	1094
Anesthesiology	PGY1	2015	Unfilled Programs	11
Anesthesiology	PGY1	2015	U.S. Senior Applicants	1192
Anesthesiology	PGY1	2015	Total Applicants	1859
Anesthesiology	PGY1	2015	U.S. Senior Matches	799
Anesthesiology	PGY1	2015	Total Matches	1066
Anesthesiology	PGY1	2015	U.S. Senior Ranked Positions	10782
Anesthesiology	PGY1	2015	Total Ranked Positions	13790
Anesthesiology	PGY1	2015	U.S. Senior Average Ranked Programs	9
Anesthesiology	PGY1	2015	Total Average Ranked Programs	7.4
Anesthesiology	PGY1	2015	Change in No. of Programs	3
Anesthesiology	PGY1	2015	Change in Positions Offered	45
Anesthesiology	PGY1	2015	Change in Unfilled Programs	1
Anesthesiology	PGY1	2015	Change in U.S. Senior Applicants	30
Anesthesiology	PGY1	2015	Change in Total Applicants	23
Anesthesiology	PGY1	2015	Change in U.S. Senior Matches	45
Anesthesiology	PGY1	2015	Change in Total Matches	42
Anesthesiology	PGY1	2015	Change in U.S. Senior Ranked Positions	569
Anesthesiology	PGY1	2015	Change in Total Ranked Positions	559
Anesthesiology	PGY1	2015	Change in U.S. Senior Average Ranked Programs	0.1999999999999993
Anesthesiology	PGY1	2015	Change in Total Average Ranked Programs	0.20000000000000018
Anesthesiology	PGY1	2016	No. of Programs	119
Anesthesiology	PGY1	2016	Positions Offered	1127
Anesthesiology	PGY1	2016	Unfilled Programs	23
Anesthesiology	PGY1	2016	U.S. Senior Applicants	1107
Anesthesiology	PGY1	2016	Total Applicants	1748
Anesthesiology	PGY1	2016	U.S. Senior Matches	774
Anesthesiology	PGY1	2016	Total Matches	1072
Anesthesiology	PGY1	2016	U.S. Senior Ranked Positions	10497
Anesthesiology	PGY1	2016	Total Ranked Positions	13524
Anesthesiology	PGY1	2016	U.S. Senior Average Ranked Programs	9.5
Anesthesiology	PGY1	2016	Total Average Ranked Programs	7.7
Anesthesiology	PGY1	2016	Change in No. of Programs	-1
Anesthesiology	PGY1	2016	Change in Positions Offered	33
Anesthesiology	PGY1	2016	Change in Unfilled Programs	12
Anesthesiology	PGY1	2016	Change in U.S. Senior Applicants	-85
Anesthesiology	PGY1	2016	Change in Total Applicants	-111
Anesthesiology	PGY1	2016	Change in U.S. Senior Matches	-25
Anesthesiology	PGY1	2016	Change in Total Matches	6
Anesthesiology	PGY1	2016	Change in U.S. Senior Ranked Positions	-285
Anesthesiology	PGY1	2016	Change in Total Ranked Positions	-266
Anesthesiology	PGY1	2016	Change in U.S. Senior Average Ranked Programs	0.5
Anesthesiology	PGY1	2016	Change in Total Average Ranked Programs	0.2999999999999998
Anesthesiology	PGY1	2017	No. of Programs	124
Anesthesiology	PGY1	2017	Positions Offered	1202
Anesthesiology	PGY1	2017	Unfilled Programs	18
Anesthesiology	PGY1	2017	U.S. Senior Applicants	1075
Anesthesiology	PGY1	2017	Total Applicants	1843
Anesthesiology	PGY1	2017	U.S. Senior Matches	803
Anesthesiology	PGY1	2017	Total Matches	1146
Anesthesiology	PGY1	2017	U.S. Senior Ranked Positions	10531
Anesthesiology	PGY1	2017	Total Ranked Positions	14303
Anesthesiology	PGY1	2017	U.S. Senior Average Ranked Programs	9.8
Anesthesiology	PGY1	2017	Total Average Ranked Programs	7.8
Anesthesiology	PGY1	2017	Change in No. of Programs	5
Anesthesiology	PGY1	2017	Change in Positions Offered	75
Anesthesiology	PGY1	2017	Change in Unfilled Programs	-5
Anesthesiology	PGY1	2017	Change in U.S. Senior Applicants	-32
Anesthesiology	PGY1	2017	Change in Total Applicants	95
Anesthesiology	PGY1	2017	Change in U.S. Senior Matches	29
Anesthesiology	PGY1	2017	Change in Total Matches	74
Anesthesiology	PGY1	2017	Change in U.S. Senior Ranked Positions	34
Anesthesiology	PGY1	2017	Change in Total Ranked Positions	779
Anesthesiology	PGY1	2017	Change in U.S. Senior Average Ranked Programs	0.3000000000000007
Anesthesiology	PGY1	2017	Change in Total Average Ranked Programs	0.09999999999999964
Anesthesiology	PGY1	2018	No. of Programs	132
Anesthesiology	PGY1	2018	Positions Offered	1253
Anesthesiology	PGY1	2018	Unfilled Programs	9
Anesthesiology	PGY1	2018	U.S. Senior Applicants	1180
Anesthesiology	PGY1	2018	Total Applicants	2011
Anesthesiology	PGY1	2018	U.S. Senior Matches	861
Anesthesiology	PGY1	2018	Total Matches	1226
Anesthesiology	PGY1	2018	U.S. Senior Ranked Positions	11746
Anesthesiology	PGY1	2018	Total Ranked Positions	16071
Anesthesiology	PGY1	2018	U.S. Senior Average Ranked Programs	10
Anesthesiology	PGY1	2018	Total Average Ranked Programs	8
Anesthesiology	PGY1	2018	Change in No. of Programs	8
Anesthesiology	PGY1	2018	Change in Positions Offered	51
Anesthesiology	PGY1	2018	Change in Unfilled Programs	-9
Anesthesiology	PGY1	2018	Change in U.S. Senior Applicants	105
Anesthesiology	PGY1	2018	Change in Total Applicants	168
Anesthesiology	PGY1	2018	Change in U.S. Senior Matches	58
Anesthesiology	PGY1	2018	Change in Total Matches	80
Anesthesiology	PGY1	2018	Change in U.S. Senior Ranked Positions	1215
Anesthesiology	PGY1	2018	Change in Total Ranked Positions	1768
Anesthesiology	PGY1	2018	Change in U.S. Senior Average Ranked Programs	0.1999999999999993
Anesthesiology	PGY1	2018	Change in Total Average Ranked Programs	0.20000000000000018
Anesthesiology	PGY1	2019	No. of Programs	142
Anesthesiology	PGY1	2019	Positions Offered	1337
Anesthesiology	PGY1	2019	Unfilled Programs	4
Anesthesiology	PGY1	2019	U.S. Senior Applicants	1270
Anesthesiology	PGY1	2019	Total Applicants	2226
Anesthesiology	PGY1	2019	U.S. Senior Matches	907
Anesthesiology	PGY1	2019	Total Matches	1316
Anesthesiology	PGY1	2019	U.S. Senior Ranked Positions	12778
Anesthesiology	PGY1	2019	Total Ranked Positions	17741
Anesthesiology	PGY1	2019	U.S. Senior Average Ranked Programs	10.1
Anesthesiology	PGY1	2019	Total Average Ranked Programs	8
Anesthesiology	PGY1	2019	Change in No. of Programs	10
Anesthesiology	PGY1	2019	Change in Positions Offered	84
Anesthesiology	PGY1	2019	Change in Unfilled Programs	-5
Anesthesiology	PGY1	2019	Change in U.S. Senior Applicants	90
Anesthesiology	PGY1	2019	Change in Total Applicants	215
Anesthesiology	PGY1	2019	Change in U.S. Senior Matches	46
