Specialty	Class	Year	Name	Value
Anesthesiology	PGY1	2012	U.S. Senior % Filled	78.9
Anesthesiology	PGY1	2012	Total % Filled	97.6
Anesthesiology	PGY1	2012	U.S. Senior Match Rate %	61.6
Anesthesiology	PGY1	2012	Total Match Rate %	52.1
Anesthesiology	PGY1	2012	Change in U.S. Senior % Filled	NA
Anesthesiology	PGY1	2012	Change in Total % Filled	NA
Anesthesiology	PGY1	2012	Change in U.S. Senior Match Rate %	NA
Anesthesiology	PGY1	2012	Change in Total Match Rate %	NA
Anesthesiology	PGY1	2012	% Change in No. of Programs	NA
Anesthesiology	PGY1	2012	% Change in Positions Offered	NA
Anesthesiology	PGY1	2012	% Change in Unfilled Programs	NA
Anesthesiology	PGY1	2012	% Change in U.S. Senior Applicants	NA
Anesthesiology	PGY1	2012	% Change in Total Applicants	NA
Anesthesiology	PGY1	2012	% Change in U.S. Senior Matches	NA
Anesthesiology	PGY1	2012	% Change in Total Matches	NA
Anesthesiology	PGY1	2012	% Change in U.S. Senior % Filled	NA
Anesthesiology	PGY1	2012	% Change in Total % Filled	NA
Anesthesiology	PGY1	2012	% Change in U.S. Senior Ranked Positions	NA
Anesthesiology	PGY1	2012	% Change in Total Ranked Positions	NA
Anesthesiology	PGY1	2012	% Change in U.S. Senior Match Rate %	NA
Anesthesiology	PGY1	2012	% Change in Total Match Rate %	NA
Anesthesiology	PGY1	2012	% Change in U.S. Senior Average Ranked Programs	NA
Anesthesiology	PGY1	2012	% Change in Total Average Ranked Programs	NA
Anesthesiology	PGY1	2012	% Predominance	62.3
Anesthesiology	PGY1	2013	U.S. Senior % Filled	69.7
Anesthesiology	PGY1	2013	Total % Filled	95.9
Anesthesiology	PGY1	2013	U.S. Senior Match Rate %	61.9
Anesthesiology	PGY1	2013	Total Match Rate %	54.4
Anesthesiology	PGY1	2013	Change in U.S. Senior % Filled	-9.200000000000003
Anesthesiology	PGY1	2013	Change in Total % Filled	-1.6999999999999886
Anesthesiology	PGY1	2013	Change in U.S. Senior Match Rate %	0.29999999999999716
Anesthesiology	PGY1	2013	Change in Total Match Rate %	2.299999999999997
Anesthesiology	PGY1	2013	% Change in No. of Programs	34.9
Anesthesiology	PGY1	2013	% Change in Positions Offered	16.8
Anesthesiology	PGY1	2013	% Change in Unfilled Programs	137.5
Anesthesiology	PGY1	2013	% Change in U.S. Senior Applicants	2.6
