Specialty	Class	Year	Name	Value
Anesthesiology	PGY1	2012	U.S. Senior Match Rate %	61.6
Anesthesiology	PGY1	2012	Total Match Rate %	52.1
Anesthesiology	PGY1	2012	Change in U.S. Senior Match Rate %	NA
Anesthesiology	PGY1	2012	Change in Total Match Rate %	NA
Anesthesiology	PGY1	2012	% Change in U.S. Senior Match Rate %	NA
Anesthesiology	PGY1	2012	% Change in Total Match Rate %	NA
Anesthesiology	PGY1	2013	U.S. Senior Match Rate %	61.9
Anesthesiology	PGY1	2013	Total Match Rate %	54.4
Anesthesiology	PGY1	2013	Change in U.S. Senior Match Rate %	0.29999999999999716
Anesthesiology	PGY1	2013	Change in Total Match Rate %	2.299999999999997
Anesthesiology	PGY1	2013	% Change in U.S. Senior Match Rate %	0.5
Anesthesiology	PGY1	2013	% Change in Total Match Rate %	4.4
Anesthesiology	PGY1	2014	U.S. Senior Match Rate %	64.9
Anesthesiology	PGY1	2014	Total Match Rate %	55.8
Anesthesiology	PGY1	2014	Change in U.S. Senior Match Rate %	3.000000000000007
Anesthesiology	PGY1	2014	Change in Total Match Rate %	1.3999999999999986
Anesthesiology	PGY1	2014	% Change in U.S. Senior Match Rate %	4.8
Anesthesiology	PGY1	2014	% Change in Total Match Rate %	2.6
Anesthesiology	PGY1	2015	U.S. Senior Match Rate %	67
Anesthesiology	PGY1	2015	Total Match Rate %	57.3
Anesthesiology	PGY1	2015	Change in U.S. Senior Match Rate %	2.0999999999999943
Anesthesiology	PGY1	2015	Change in Total Match Rate %	1.5
Anesthesiology	PGY1	2015	% Change in U.S. Senior Match Rate %	3.2
Anesthesiology	PGY1	2015	% Change in Total Match Rate %	2.7
Anesthesiology	PGY1	2016	U.S. Senior Match Rate %	69.9
Anesthesiology	PGY1	2016	Total Match Rate %	61.3
Anesthesiology	PGY1	2016	Change in U.S. Senior Match Rate %	2.9000000000000057
Anesthesiology	PGY1	2016	Change in Total Match Rate %	4
Anesthesiology	PGY1	2016	% Change in U.S. Senior Match Rate %	4.3
